,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
PC1,1.0,6.910634174465081e-16,4.0637722221419475e-17,3.6640964637055233e-16,3.5634462567796323e-16,-2.540078622342013e-16,-1.1733195461901156e-16,4.4178928769338393e-16,1.6733199521030456e-16,-5.239579207969448e-17,8.842167258657168e-18,-0.1556944310094548
PC2,6.910634174465081e-16,1.0,4.500591773857436e-16,4.80601096461365e-17,1.9148368860094864e-16,7.553377914075747e-17,1.1652160758005003e-16,-8.669764657243556e-18,-3.0906473533835223e-16,-2.152505396746064e-16,3.1293371423634484e-15,-0.16011862796436704
PC3,4.0637722221419475e-17,4.500591773857436e-16,1.0,-4.5752338292361305e-17,7.646934781347344e-16,1.2442139572964346e-16,2.60283597485621e-16,-1.562170591132608e-16,9.753681154950276e-16,-9.196135026856899e-17,1.1316866005581349e-18,0.7324061437105038
PC4,3.6640964637055233e-16,4.80601096461365e-17,-4.5752338292361305e-17,1.0,-6.307271221561588e-16,-1.5928612108811875e-16,-1.1552243774297651e-17,1.3869887285967477e-16,-4.0755448050099705e-16,-2.349308182831275e-17,1.8276375024286178e-16,0.4060396534969793
PC5,3.5634462567796323e-16,1.9148368860094864e-16,7.646934781347344e-16,-6.307271221561588e-16,1.0,-9.352735374488616e-16,-3.345718920758746e-16,1.2684720612526096e-17,2.8762760233684636e-17,-1.0643378756346303e-17,4.346203604004412e-16,-0.39224919029484906
PC6,-2.540078622342013e-16,7.553377914075747e-17,1.2442139572964346e-16,-1.5928612108811875e-16,-9.352735374488616e-16,1.0,5.058982220519116e-16,-4.524252251470975e-17,2.31835385368267e-16,9.845809725671458e-17,3.768756156369487e-16,-0.08062824074990008
PC7,-1.1733195461901156e-16,1.1652160758005003e-16,2.60283597485621e-16,-1.1552243774297651e-17,-3.345718920758746e-16,5.058982220519116e-16,1.0,5.019316238700576e-16,1.3615679993892172e-16,-3.160890981424402e-17,-3.2535314075607006e-16,0.22602158326952293
PC8,4.4178928769338393e-16,-8.669764657243556e-18,-1.562170591132608e-16,1.3869887285967477e-16,1.2684720612526096e-17,-4.524252251470975e-17,5.019316238700576e-16,1.0,-2.774691374946537e-17,-1.6128403905111745e-17,-1.8084373795249186e-16,0.14171943392681804
PC9,1.6733199521030456e-16,-3.0906473533835223e-16,9.753681154950276e-16,-4.0755448050099705e-16,2.8762760233684636e-17,2.31835385368267e-16,1.3615679993892172e-16,-2.774691374946537e-17,1.0,-4.226694206010412e-17,-4.3262083969717983e-16,-0.052950653255646435
PC10,-5.239579207969448e-17,-2.152505396746064e-16,-9.196135026856899e-17,-2.349308182831275e-17,-1.0643378756346303e-17,9.845809725671458e-17,-3.160890981424402e-17,-1.6128403905111745e-17,-4.226694206010412e-17,1.0,-7.348387714534519e-18,0.04071955200777429
PC11,8.842167258657168e-18,3.1293371423634484e-15,1.1316866005581349e-18,1.8276375024286178e-16,4.346203604004412e-16,3.768756156369487e-16,-3.2535314075607006e-16,-1.8084373795249186e-16,-4.3262083969717983e-16,-7.348387714534519e-18,1.0,0.035685703124854334
PC12,-0.1556944310094548,-0.16011862796436704,0.7324061437105038,0.4060396534969793,-0.39224919029484906,-0.08062824074990008,0.22602158326952293,0.14171943392681804,-0.052950653255646435,0.04071955200777429,0.035685703124854334,1.0
